DateTime,O3,NOx,GT,NO2
2004-03-12 17:00:00,994,1006,119,1610
2004-03-12 18:00:00,1410,812,149,1910
2004-03-12 19:00:00,1448,821,145,1847
2004-03-12 20:00:00,1887,624,170,2390
2004-03-12 21:00:00,1627,752,149,1941
2004-03-12 22:00:00,1491,839,139,1723
2004-03-12 23:00:00,1657,741,134,2062
2004-03-13 00:00:00,1285,963,113,1544
2004-03-13 01:00:00,1144,1071,97,1463
2004-03-13 02:00:00,1043,1176,82,1365
2004-03-13 03:00:00,996,1179,-200,1380
2004-03-13 04:00:00,992,1132,83,1412
2004-03-13 05:00:00,819,1420,65,1274
2004-03-13 06:00:00,835,1406,60,1268
2004-03-13 07:00:00,940,1228,77,1409
2004-03-13 08:00:00,1192,935,96,1678
2004-03-13 09:00:00,1411,830,119,1777
2004-03-13 10:00:00,1465,869,126,1667
2004-03-13 11:00:00,1583,808,158,1780
2004-03-13 12:00:00,1387,875,161,1679
2004-03-13 13:00:00,1101,987,124,1600
2004-03-13 14:00:00,850,1088,102,1488
2004-03-13 15:00:00,947,1049,116,1532
2004-03-13 16:00:00,1078,1004,124,1554
2004-03-13 17:00:00,1084,976,125,1602
2004-03-13 18:00:00,1395,831,148,1779
2004-03-13 19:00:00,1612,758,165,1922
2004-03-13 20:00:00,1697,754,161,1915
2004-03-13 21:00:00,1886,762,159,1860
2004-03-13 22:00:00,1624,844,143,1748
2004-03-13 23:00:00,1536,892,130,1603
2004-03-14 00:00:00,1535,889,129,1611
2004-03-14 01:00:00,1530,880,119,1624
2004-03-14 02:00:00,1337,953,104,1543
2004-03-14 03:00:00,1278,921,-200,1620
2004-03-14 04:00:00,1051,1130,82,1452
2004-03-14 05:00:00,929,1272,70,1377
2004-03-14 06:00:00,872,1395,63,1333
2004-03-14 07:00:00,853,1384,67,1340
2004-03-14 08:00:00,959,1225,84,1414
2004-03-14 09:00:00,1093,1055,83,1527
2004-03-14 10:00:00,1225,952,98,1614
2004-03-14 11:00:00,1355,878,114,1696
2004-03-14 12:00:00,1262,907,119,1677
2004-03-14 13:00:00,980,1084,104,1525
2004-03-14 14:00:00,872,1104,102,1490
2004-03-14 15:00:00,900,1081,107,1511
2004-03-14 16:00:00,1099,974,129,1646
2004-03-14 17:00:00,1206,943,128,1668
2004-03-14 18:00:00,1262,929,121,1671
2004-03-14 19:00:00,1698,753,157,1993
2004-03-14 20:00:00,1905,681,173,2103
2004-03-14 21:00:00,1648,784,146,1818
2004-03-14 22:00:00,1423,924,121,1587
2004-03-14 23:00:00,1349,933,119,1617
2004-03-15 00:00:00,1250,985,99,1547
2004-03-15 01:00:00,1174,1010,93,1543
2004-03-15 02:00:00,1149,998,88,1566
2004-03-15 03:00:00,1021,1128,-200,1487
2004-03-15 04:00:00,1013,1150,71,1468
2004-03-15 05:00:00,1010,1156,74,1464
2004-03-15 06:00:00,1083,1030,80,1584
2004-03-15 07:00:00,1235,897,89,1710
2004-03-15 08:00:00,1680,652,114,2323
2004-03-15 09:00:00,2184,537,149,2665
2004-03-15 10:00:00,1973,622,157,2262
2004-03-15 11:00:00,1798,710,155,2029
2004-03-15 12:00:00,1522,831,134,1783
2004-03-15 13:00:00,1404,830,119,1831
2004-03-15 14:00:00,1263,838,111,1829
2004-03-15 15:00:00,1137,926,104,1707
2004-03-15 16:00:00,1068,950,99,1675
2004-03-15 17:00:00,1252,857,110,1824
2004-03-15 18:00:00,1843,631,162,2447
2004-03-15 19:00:00,2122,542,187,2679
2004-03-15 20:00:00,1992,565,165,2443
2004-03-15 21:00:00,1707,678,145,2058
2004-03-15 22:00:00,1494,764,125,1856
2004-03-15 23:00:00,1164,1008,101,1547
2004-03-16 00:00:00,1272,852,103,1731
2004-03-16 01:00:00,1040,1098,88,1483
2004-03-16 02:00:00,867,1320,61,1386
2004-03-16 03:00:00,826,1376,-200,1364
2004-03-16 04:00:00,840,1316,59,1373
2004-03-16 05:00:00,793,1412,52,1348
2004-03-16 06:00:00,870,1246,64,1418
2004-03-16 07:00:00,930,1162,70,1467
2004-03-16 08:00:00,1407,770,97,1889
2004-03-16 09:00:00,1507,698,95,2055
2004-03-16 10:00:00,1843,628,150,2211
2004-03-16 11:00:00,1729,730,162,1973
2004-03-16 12:00:00,1583,776,154,1868
2004-03-16 13:00:00,1671,724,161,1998
2004-03-16 14:00:00,1491,773,161,1897
2004-03-16 15:00:00,1240,893,128,1675
2004-03-16 16:00:00,1313,905,129,1759
2004-03-16 17:00:00,1363,898,133,1739
2004-03-16 18:00:00,1296,859,139,1778
2004-03-16 19:00:00,1432,800,137,1875
2004-03-16 20:00:00,1432,854,143,1776
2004-03-16 21:00:00,2034,700,177,2106
2004-03-16 22:00:00,1602,818,138,1710
2004-03-16 23:00:00,1362,935,117,1560
2004-03-17 00:00:00,1314,922,107,1547
2004-03-17 01:00:00,1114,1066,90,1442
2004-03-17 02:00:00,992,1169,79,1383
2004-03-17 03:00:00,884,1292,-200,1332
2004-03-17 04:00:00,808,1396,60,1303
2004-03-17 05:00:00,667,1460,40,1268
2004-03-17 06:00:00,733,1417,53,1289
2004-03-17 07:00:00,1052,1038,84,1556
2004-03-17 08:00:00,1534,702,108,1999
2004-03-17 09:00:00,1931,553,127,2535
2004-03-17 10:00:00,1734,703,134,2026
2004-03-17 11:00:00,1595,819,135,1782
2004-03-17 12:00:00,1490,905,142,1654
2004-03-17 13:00:00,1508,861,153,1747
2004-03-17 14:00:00,1334,887,123,1712
2004-03-17 15:00:00,1045,1013,104,1520
2004-03-17 16:00:00,1221,940,129,1679
2004-03-17 17:00:00,1069,1032,114,1525
2004-03-17 18:00:00,1569,793,158,1981
2004-03-17 19:00:00,2306,617,194,2414
2004-03-17 20:00:00,2359,597,182,2416
2004-03-17 21:00:00,2050,653,180,2174
2004-03-17 22:00:00,1727,770,136,1727
2004-03-17 23:00:00,1705,731,127,1778
2004-03-18 00:00:00,1551,796,116,1669
2004-03-18 01:00:00,1240,947,107,1502
2004-03-18 02:00:00,1115,1057,88,1407
2004-03-18 03:00:00,969,1196,-200,1351
2004-03-18 04:00:00,925,1260,78,1334
2004-03-18 05:00:00,828,1293,57,1307
2004-03-18 06:00:00,893,1251,71,1333
2004-03-18 07:00:00,1075,1005,85,1551
2004-03-18 08:00:00,1610,667,124,2094
2004-03-18 09:00:00,2051,541,151,2468
2004-03-18 10:00:00,1819,686,150,2010
2004-03-18 11:00:00,1568,831,152,1752
2004-03-18 12:00:00,1374,899,139,1663
2004-03-18 13:00:00,1268,891,133,1648
2004-03-18 14:00:00,1144,901,126,1660
2004-03-18 15:00:00,1109,934,128,1639
2004-03-18 16:00:00,1347,822,169,1767
2004-03-18 17:00:00,1206,873,149,1689
2004-03-18 18:00:00,1397,764,156,1957
2004-03-18 19:00:00,1588,683,168,2118
2004-03-18 20:00:00,1569,684,176,2051
2004-03-18 21:00:00,1322,814,135,1732
2004-03-18 22:00:00,1194,885,121,1621
2004-03-18 23:00:00,1062,948,99,1545
2004-03-19 00:00:00,1040,918,106,1606
2004-03-19 01:00:00,917,1021,96,1501
2004-03-19 02:00:00,594,1229,63,1380
2004-03-19 03:00:00,430,1382,-200,1301
2004-03-19 04:00:00,397,1440,32,1280
2004-03-19 05:00:00,370,1620,28,1260
2004-03-19 06:00:00,438,1373,61,1324
2004-03-19 07:00:00,704,1054,99,1539
2004-03-19 08:00:00,1476,671,157,2144
2004-03-19 09:00:00,1716,575,166,2456
2004-03-19 10:00:00,1398,701,149,1980
2004-03-19 11:00:00,1268,759,135,1879
2004-03-19 12:00:00,1188,813,127,1751
2004-03-19 13:00:00,1171,793,122,1801
2004-03-19 14:00:00,1250,771,135,1875
2004-03-19 15:00:00,1344,724,139,1957
2004-03-19 16:00:00,1378,708,147,1955
2004-03-19 17:00:00,1435,690,158,2005
2004-03-19 18:00:00,1372,704,146,1952
2004-03-19 19:00:00,1471,677,144,1997
2004-03-19 20:00:00,1439,698,138,1942
2004-03-19 21:00:00,1429,748,143,1854
2004-03-19 22:00:00,1081,904,116,1604
2004-03-19 23:00:00,993,948,109,1547
2004-03-20 00:00:00,837,1064,92,1447
2004-03-20 01:00:00,761,1105,83,1429
2004-03-20 02:00:00,650,1182,81,1382
2004-03-20 03:00:00,591,1252,-200,1359
2004-03-20 04:00:00,505,1308,55,1332
2004-03-20 05:00:00,518,1260,53,1351
2004-03-20 06:00:00,571,1317,67,1342
2004-03-20 07:00:00,842,1161,91,1461
2004-03-20 08:00:00,1145,902,113,1623
2004-03-20 09:00:00,1218,834,102,1689
2004-03-20 10:00:00,1341,776,107,1764
2004-03-20 11:00:00,1406,768,113,1768
2004-03-20 12:00:00,1422,782,108,1757
2004-03-20 13:00:00,1373,809,105,1735
2004-03-20 14:00:00,1153,900,93,1636
2004-03-20 15:00:00,927,980,87,1573
2004-03-20 16:00:00,766,1036,76,1539
2004-03-20 17:00:00,941,930,94,1649
2004-03-20 18:00:00,1146,856,110,1774
2004-03-20 19:00:00,1417,734,136,1919
2004-03-20 20:00:00,1442,733,139,1885
2004-03-20 21:00:00,1323,785,125,1820
2004-03-20 22:00:00,1125,864,111,1712
2004-03-20 23:00:00,1036,905,97,1672
2004-03-21 00:00:00,1202,835,107,1714
2004-03-21 01:00:00,1054,941,90,1577
2004-03-21 02:00:00,903,1004,84,1526
2004-03-21 03:00:00,885,987,-200,1554
2004-03-21 04:00:00,818,1029,87,1539
2004-03-21 05:00:00,700,1136,66,1461
2004-03-21 06:00:00,580,1300,36,1390
2004-03-21 07:00:00,815,1143,62,1492
2004-03-21 08:00:00,1035,1062,91,1528
2004-03-21 09:00:00,1067,996,89,1560
2004-03-21 10:00:00,1114,914,93,1633
2004-03-21 11:00:00,1000,911,81,1646
2004-03-21 12:00:00,906,953,82,1617
2004-03-21 13:00:00,822,981,80,1568
2004-03-21 14:00:00,610,1144,48,1507
2004-03-21 15:00:00,657,962,61,1669
2004-03-21 16:00:00,647,1060,89,1506
2004-03-21 17:00:00,762,961,105,1607
2004-03-21 18:00:00,1122,769,116,1874
2004-03-21 19:00:00,1130,823,119,1744
2004-03-21 20:00:00,1637,769,144,1840
2004-03-21 21:00:00,1272,883,123,1673
2004-03-21 22:00:00,1098,933,105,1594
2004-03-21 23:00:00,1066,920,93,1624
2004-03-22 00:00:00,909,995,86,1582
2004-03-22 01:00:00,818,1050,76,1547
2004-03-22 02:00:00,472,1417,33,1355
2004-03-22 03:00:00,394,1813,-200,1274
2004-03-22 04:00:00,396,1756,27,1304
2004-03-22 05:00:00,378,1786,23,1278
2004-03-22 06:00:00,432,1480,46,1373
2004-03-22 07:00:00,699,1072,76,1538
2004-03-22 08:00:00,1252,732,116,1996
2004-03-22 09:00:00,1237,711,115,1962
2004-03-22 10:00:00,772,1032,83,1484
2004-03-22 11:00:00,766,1026,87,1509
2004-03-22 12:00:00,829,947,90,1577
2004-03-22 13:00:00,783,955,87,1599
2004-03-22 14:00:00,822,952,99,1607
2004-03-22 15:00:00,813,965,99,1574
2004-03-22 16:00:00,813,964,101,1544
2004-03-22 17:00:00,850,928,103,1606
2004-03-22 18:00:00,1276,720,129,1932
2004-03-22 19:00:00,1401,678,143,1993
2004-03-22 20:00:00,1356,678,146,1965
2004-03-22 21:00:00,1243,775,124,1758
2004-03-22 22:00:00,1083,920,113,1561
2004-03-22 23:00:00,795,1142,80,1370
2004-03-23 00:00:00,735,1204,72,1359
2004-03-23 01:00:00,684,1271,64,1309
2004-03-23 02:00:00,714,1298,70,1330
2004-03-23 03:00:00,456,1522,-200,1285
2004-03-23 04:00:00,401,1701,31,1261
2004-03-23 05:00:00,361,1908,22,1212
2004-03-23 06:00:00,418,1542,47,1287
2004-03-23 07:00:00,616,1178,88,1429
2004-03-23 08:00:00,1089,851,130,1829
2004-03-23 09:00:00,1329,684,132,2095
2004-03-23 10:00:00,1311,760,132,1857
2004-03-23 11:00:00,1236,792,131,1794
2004-03-23 12:00:00,1147,837,129,1746
2004-03-23 13:00:00,1301,770,132,1847
2004-03-23 14:00:00,1097,881,110,1639
2004-03-23 15:00:00,900,924,99,1589
2004-03-23 16:00:00,781,944,100,1570
2004-03-23 17:00:00,1013,818,122,1719
2004-03-23 18:00:00,790,962,97,1514
2004-03-23 19:00:00,1059,854,112,1688
2004-03-23 20:00:00,1205,812,128,1722
2004-03-23 21:00:00,975,1006,101,1487
2004-03-23 22:00:00,896,1141,96,1375
2004-03-23 23:00:00,911,1105,86,1425
2004-03-24 00:00:00,902,1137,85,1411
2004-03-24 01:00:00,832,1151,79,1405
2004-03-24 02:00:00,715,1320,61,1326
2004-03-24 03:00:00,683,1493,-200,1272
2004-03-24 04:00:00,721,1477,66,1287
2004-03-24 05:00:00,648,1572,54,1255
2004-03-24 06:00:00,612,1496,57,1255
2004-03-24 07:00:00,800,1186,75,1403
2004-03-24 08:00:00,1173,832,97,1706
2004-03-24 09:00:00,1519,652,110,2080
2004-03-24 10:00:00,1287,762,113,1770
2004-03-24 11:00:00,966,950,88,1505
2004-03-24 12:00:00,828,1012,85,1440
2004-03-24 13:00:00,825,959,96,1477
2004-03-24 14:00:00,872,879,106,1566
2004-03-24 15:00:00,680,1015,91,1494
2004-03-24 16:00:00,1002,829,126,1730
2004-03-24 17:00:00,1159,774,130,1783
2004-03-24 18:00:00,979,828,111,1722
2004-03-24 19:00:00,1311,681,134,2008
2004-03-24 20:00:00,1071,795,136,1744
2004-03-24 21:00:00,899,928,125,1571
2004-03-24 22:00:00,766,1064,108,1435
2004-03-24 23:00:00,589,1186,87,1354
2004-03-25 00:00:00,631,1168,89,1341
2004-03-25 01:00:00,479,1400,58,1249
2004-03-25 02:00:00,479,1450,54,1253
2004-03-25 03:00:00,417,1564,-200,1224
2004-03-25 04:00:00,378,1707,28,1212
2004-03-25 05:00:00,344,1935,20,1158
2004-03-25 06:00:00,413,1604,51,1268
2004-03-25 07:00:00,605,1260,82,1383
2004-03-25 08:00:00,991,902,112,1721
2004-03-25 09:00:00,1175,740,119,1937
2004-03-25 10:00:00,923,969,99,1552
2004-03-25 11:00:00,829,1039,98,1468
2004-03-25 12:00:00,733,1081,88,1442
2004-03-25 13:00:00,819,958,96,1570
2004-03-25 14:00:00,723,976,81,1492
2004-03-25 15:00:00,786,986,92,1501
2004-03-25 16:00:00,850,939,105,1545
2004-03-25 17:00:00,820,968,88,1527
2004-03-25 18:00:00,991,836,103,1748
2004-03-25 19:00:00,1454,666,141,2060
2004-03-25 20:00:00,1488,692,133,1982
2004-03-25 21:00:00,1205,904,119,1539
2004-03-25 22:00:00,909,1083,106,1376
2004-03-25 23:00:00,769,1154,92,1324
2004-03-26 00:00:00,835,1098,97,1373
2004-03-26 01:00:00,793,1131,91,1357
2004-03-26 02:00:00,733,1208,83,1313
2004-03-26 03:00:00,502,1449,-200,1219
2004-03-26 04:00:00,562,1398,59,1263
2004-03-26 05:00:00,832,1210,73,1312
2004-03-26 06:00:00,924,1130,78,1363
2004-03-26 07:00:00,974,1015,90,1438
2004-03-26 08:00:00,1307,783,110,1828
2004-03-26 09:00:00,1481,682,114,1928
2004-03-26 10:00:00,1405,772,119,1747
2004-03-26 11:00:00,1195,826,121,1664
2004-03-26 12:00:00,868,948,97,1503
2004-03-26 13:00:00,874,915,99,1535
2004-03-26 14:00:00,738,1015,85,1391
2004-03-26 15:00:00,550,1152,75,1279
2004-03-26 16:00:00,777,976,87,1454
2004-03-26 17:00:00,966,886,102,1588
2004-03-26 18:00:00,990,868,105,1580
2004-03-26 19:00:00,944,876,98,1540
2004-03-26 20:00:00,962,916,93,1490
2004-03-26 21:00:00,778,1097,91,1308
2004-03-26 22:00:00,690,1185,85,1252
2004-03-26 23:00:00,644,1237,74,1258
2004-03-27 00:00:00,753,1144,87,1307
2004-03-27 01:00:00,646,1290,79,1232
2004-03-27 02:00:00,838,1142,78,1312
2004-03-27 03:00:00,851,1191,-200,1292
2004-03-27 04:00:00,801,1209,63,1296
2004-03-27 05:00:00,665,1417,48,1212
2004-03-27 06:00:00,717,1373,59,1250
2004-03-27 07:00:00,795,1270,65,1266
2004-03-27 08:00:00,936,1050,71,1418
2004-03-27 09:00:00,1076,922,84,1530
2004-03-27 10:00:00,1016,942,93,1520
2004-03-27 11:00:00,834,992,99,1451
2004-03-27 12:00:00,756,994,93,1449
2004-03-27 13:00:00,766,950,96,1467
2004-03-27 14:00:00,905,888,114,1596
2004-03-27 15:00:00,765,1051,101,1357
2004-03-27 16:00:00,830,934,108,1538
2004-03-27 17:00:00,853,916,117,1508
2004-03-27 18:00:00,981,886,125,1586
2004-03-27 19:00:00,1286,827,133,1621
2004-03-27 20:00:00,1244,841,119,1633
2004-03-27 21:00:00,1056,948,107,1475
2004-03-27 22:00:00,1003,1023,96,1421
2004-03-27 23:00:00,1245,906,105,1483
2004-03-28 00:00:00,1200,930,102,1464
2004-03-28 01:00:00,1188,939,97,1451
2004-03-28 02:00:00,1070,1013,79,1395
2004-03-28 03:00:00,1075,935,-200,1501
2004-03-28 04:00:00,895,1110,69,1396
2004-03-28 05:00:00,755,1325,52,1284
2004-03-28 06:00:00,806,1251,62,1342
2004-03-28 07:00:00,836,1219,69,1321
2004-03-28 08:00:00,897,1136,75,1382
2004-03-28 09:00:00,1073,959,83,1486
2004-03-28 10:00:00,1088,918,94,1501
2004-03-28 11:00:00,1036,933,96,1514
2004-03-28 12:00:00,768,1020,86,1438
2004-03-28 13:00:00,587,1159,72,1287
2004-03-28 14:00:00,452,1285,53,1189
2004-03-28 15:00:00,470,1189,65,1260
2004-03-28 16:00:00,502,1213,70,1244
2004-03-28 17:00:00,516,1217,75,1238
2004-03-28 18:00:00,555,1174,86,1301
2004-03-28 19:00:00,671,1068,94,1357
2004-03-28 20:00:00,788,1102,103,1329
2004-03-28 21:00:00,538,1261,81,1246
2004-03-28 22:00:00,544,1266,80,1224
2004-03-28 23:00:00,500,1300,77,1204
2004-03-29 00:00:00,417,1396,58,1156
2004-03-29 01:00:00,341,1588,31,1071
2004-03-29 02:00:00,352,1643,38,1076
2004-03-29 03:00:00,397,1557,-200,1095
2004-03-29 04:00:00,502,1496,59,1153
2004-03-29 05:00:00,648,1441,70,1180
2004-03-29 06:00:00,760,1309,75,1232
2004-03-29 07:00:00,1183,844,103,1687
2004-03-29 08:00:00,1431,714,134,1806
2004-03-29 09:00:00,705,1111,98,1258
2004-03-29 10:00:00,637,1133,97,1254
2004-03-29 11:00:00,658,1105,98,1293
2004-03-29 12:00:00,546,1129,78,1272
2004-03-29 13:00:00,561,1070,83,1332
2004-03-29 14:00:00,532,1131,92,1268
2004-03-29 15:00:00,535,1131,81,1247
2004-03-29 16:00:00,525,1098,90,1289
2004-03-29 17:00:00,603,996,95,1358
2004-03-29 18:00:00,802,905,114,1477
2004-03-29 19:00:00,796,957,106,1404
2004-03-29 20:00:00,689,1066,99,1302
2004-03-29 21:00:00,553,1221,90,1178
2004-03-29 22:00:00,509,1278,82,1137
2004-03-29 23:00:00,455,1339,74,1089
2004-03-30 00:00:00,425,1418,76,1050
2004-03-30 01:00:00,436,1468,66,1055
2004-03-30 02:00:00,618,1402,73,1130
2004-03-30 03:00:00,747,1457,-200,1104
2004-03-30 04:00:00,693,1462,69,1101
2004-03-30 05:00:00,691,1341,71,1117
2004-03-30 06:00:00,1013,1080,98,1266
2004-03-30 07:00:00,1311,839,115,1587
2004-03-30 08:00:00,1675,642,130,1947
2004-03-30 09:00:00,1689,674,150,1852
2004-03-30 10:00:00,1688,695,159,1872
2004-03-30 11:00:00,1548,734,146,1754
2004-03-30 12:00:00,1490,742,138,1763
2004-03-30 13:00:00,1354,791,128,1711
2004-03-30 14:00:00,1014,942,97,1448
2004-03-30 15:00:00,831,991,91,1372
2004-03-30 16:00:00,699,1060,81,1325
2004-03-30 17:00:00,926,874,99,1527
2004-03-30 18:00:00,928,853,101,1532
2004-03-30 19:00:00,1038,815,106,1638
2004-03-30 20:00:00,1035,884,102,1534
2004-03-30 21:00:00,789,1072,84,1360
2004-03-30 22:00:00,692,1147,81,1323
2004-03-30 23:00:00,764,1094,91,1360
2004-03-31 00:00:00,639,1180,82,1287
2004-03-31 01:00:00,541,1287,64,1240
2004-03-31 02:00:00,678,1222,70,1256
2004-03-31 03:00:00,381,1613,-200,1066
2004-03-31 04:00:00,343,1699,26,1064
2004-03-31 05:00:00,436,1473,58,1131
2004-03-31 06:00:00,688,1220,93,1279
2004-03-31 07:00:00,1438,721,110,1926
2004-03-31 08:00:00,1489,639,115,1957
2004-03-31 09:00:00,1093,872,125,1576
2004-03-31 10:00:00,965,957,118,1498
2004-03-31 11:00:00,1004,902,109,1579
2004-03-31 12:00:00,1166,779,123,1772
2004-03-31 13:00:00,991,846,114,1638
2004-03-31 14:00:00,1054,804,114,1748
2004-03-31 15:00:00,1192,755,119,1799
2004-03-31 16:00:00,1055,850,111,1637
2004-03-31 17:00:00,1048,810,103,1681
2004-03-31 18:00:00,1073,821,103,1712
2004-03-31 19:00:00,1068,819,107,1669
2004-03-31 20:00:00,1019,882,105,1588
2004-03-31 21:00:00,833,1044,91,1418
2004-03-31 22:00:00,759,1078,79,1409
2004-03-31 23:00:00,749,1098,79,1395
2004-04-01 00:00:00,978,986,86,1477
2004-04-01 01:00:00,944,1031,70,1425
2004-04-01 02:00:00,891,1085,55,1405
2004-04-01 03:00:00,849,1099,-200,1422
2004-04-01 04:00:00,790,1237,49,1322
2004-04-01 05:00:00,852,1176,50,1340
2004-04-01 06:00:00,987,1002,67,1561
2004-04-01 07:00:00,1435,675,94,1949
2004-04-01 08:00:00,1798,539,119,2439
2004-04-01 09:00:00,1677,631,139,2001
2004-04-01 10:00:00,1282,800,113,1701
2004-04-01 11:00:00,871,970,88,1489
2004-04-01 12:00:00,759,974,73,1524
2004-04-01 13:00:00,790,937,73,1542
2004-04-01 14:00:00,-200,-200,72,-200
2004-04-01 15:00:00,-200,-200,81,-200
2004-04-01 16:00:00,-200,-200,93,-200
2004-04-01 17:00:00,1187,793,106,1193
2004-04-01 18:00:00,1399,700,132,2028
2004-04-01 19:00:00,1644,624,164,2089
2004-04-01 20:00:00,1599,666,161,1922
2004-04-01 21:00:00,1223,827,124,1604
2004-04-01 22:00:00,1200,844,113,1570
2004-04-01 23:00:00,1118,898,103,1529
2004-04-02 00:00:00,1067,921,104,1514
2004-04-02 01:00:00,1048,986,93,1442
2004-04-02 02:00:00,718,1180,60,1350
2004-04-02 03:00:00,797,1137,-200,1381
2004-04-02 04:00:00,749,1195,52,1342
2004-04-02 05:00:00,737,1197,66,1372
2004-04-02 06:00:00,903,1055,82,1448
2004-04-02 07:00:00,1159,798,109,1833
2004-04-02 08:00:00,1365,634,114,2060
2004-04-02 09:00:00,1510,634,139,2054
2004-04-02 10:00:00,1386,706,127,1898
2004-04-02 11:00:00,1368,738,127,1821
2004-04-02 12:00:00,1347,748,135,1825
2004-04-02 13:00:00,1242,765,130,1773
2004-04-02 14:00:00,1138,790,126,1761
2004-04-02 15:00:00,1080,809,121,1703
2004-04-02 16:00:00,1002,872,122,1632
2004-04-02 17:00:00,1212,778,138,1799
2004-04-02 18:00:00,1486,685,165,1915
2004-04-02 19:00:00,1567,641,154,2052
2004-04-02 20:00:00,1723,618,168,2083
2004-04-02 21:00:00,1399,771,146,1685
2004-04-02 22:00:00,1291,841,124,1582
2004-04-02 23:00:00,1443,761,124,1684
2004-04-03 00:00:00,1270,828,106,1566
2004-04-03 01:00:00,1110,936,88,1488
2004-04-03 02:00:00,1060,986,83,1455
2004-04-03 03:00:00,965,1056,-200,1410
2004-04-03 04:00:00,891,1145,74,1380
2004-04-03 05:00:00,905,1103,64,1387
2004-04-03 06:00:00,899,1112,69,1398
2004-04-03 07:00:00,1136,846,91,1660
2004-04-03 08:00:00,1391,704,96,1872
2004-04-03 09:00:00,1460,720,106,1816
2004-04-03 10:00:00,1410,785,-200,1720
2004-04-03 11:00:00,1372,781,-200,1743
2004-04-03 12:00:00,1266,781,-200,1779
2004-04-03 13:00:00,1014,866,-200,1621
2004-04-03 14:00:00,870,915,-200,1573
2004-04-03 15:00:00,905,882,-200,1635
2004-04-03 16:00:00,991,834,-200,1704
2004-04-03 17:00:00,1076,812,-200,1722
2004-04-03 18:00:00,1249,764,-200,1798
2004-04-03 19:00:00,1548,625,-200,2153
2004-04-03 20:00:00,1300,736,-200,1823
2004-04-03 21:00:00,1029,873,-200,1602
2004-04-03 22:00:00,1207,762,-200,1870
2004-04-03 23:00:00,1047,847,-200,1644
2004-04-04 00:00:00,923,884,-200,1580
2004-04-04 01:00:00,862,929,-200,1551
2004-04-04 02:00:00,752,980,-200,1500
2004-04-04 03:00:00,791,965,-200,1521
2004-04-04 04:00:00,697,1090,-200,1448
2004-04-04 05:00:00,664,1171,-200,1434
2004-04-04 06:00:00,891,1020,-200,1488
2004-04-04 07:00:00,813,1110,-200,1423
2004-04-04 08:00:00,828,1063,-200,1461
2004-04-04 09:00:00,1057,868,-200,1634
2004-04-04 10:00:00,1011,846,-200,1658
2004-04-04 11:00:00,932,906,-200,1589
2004-04-04 12:00:00,881,895,-200,1603
2004-04-04 13:00:00,646,969,-200,1531
2004-04-04 14:00:00,536,1057,-200,1476
2004-04-04 15:00:00,746,863,-200,1642
2004-04-04 16:00:00,833,841,-200,1678
2004-04-04 17:00:00,802,845,-200,1626
2004-04-04 18:00:00,838,838,-200,1636
2004-04-04 19:00:00,1051,755,-200,1756
2004-04-04 20:00:00,1041,830,-200,1673
2004-04-04 21:00:00,646,989,-200,1493
2004-04-04 22:00:00,769,909,-200,1556
2004-04-04 23:00:00,785,930,-200,1540
